0.99 41
0.98 69
0.97 214
0.96 191
0.95 389
0.94 243
0.93 416
0.92 590
0.91 374
0.9 702
0.89 783
0.88 658
0.87 780
0.86 798
0.85 805
0.84 1014
0.83 613
0.82 740
0.81 691
0.8 520
0.79 406
0.78 517
0.77 412
0.76 380
0.75 414
0.74 412
0.73 585
0.72 644
0.71 712
0.7 708
0.69 724
0.68 827
0.67 785
0.66 775
0.65 744
0.64 745
0.63 990
0.62 790
0.61 973
0.6 847
0.59 968
0.58 901
0.57 964
0.56 935
0.55 646
0.54 618
0.53 499
0.52 646
0.51 624
0.5 561
0.49 602
0.48 542
0.47 510
0.46 500
0.45 528
0.44 558
0.43 517
0.42 605
0.41 544
0.4 575
0.39 573
0.38 665
0.37 462
0.36 522
0.35 482
0.34 474
0.33 643
0.32 457
0.31 549
0.3 448
0.29 445
0.28 352
0.27 516
0.26 600
0.25 737
0.24 982
0.23 1044
0.22 1052
0.21 1208
0.2 1461
0.19 1546
0.18 1814
0.17 2093
0.16 2745
0.15 3818
0.14 4860
0.13 6824
0.12 9584
0.11 14182
0.1 15646
0.09 19421
0.08 26306
0.07 43975
0.06 65112
0.05 84620
0.04 115898
0.03 121700
0.02 158045
0.01 95232
